id,text,persons,locations,organizations
284,Finnish April trade surplus 3.8 billion markka - NCB .,,,NCB
285,HELSINKI 1996-08-22,,HELSINKI,
286,"Finland 's trade surplus rose to 3.83 billion markka in April from 3.43 billion in March , the National Customs Board ( NCB ) said in a statement on Thursday .",,Finland,National Customs Board;NCB
287,"The value of exports fell one percent year-on-year in April and the value of imports fell two percent , NCB said .",,,NCB
288,Trade balance ( million markka ) :,,,
289,April ' 96 March ' 96 Jan-April ' 96 Jan-April ' 95,,,
290,"Imports 10,663 10,725 43,430 40,989",,,
291,"Exports 14,494 14,153 56,126 56,261",,,
292,"Balance +3,831 +3,428 +12,696 +15,272",,,
293,"The January-April 1995 import figure was revised from 39,584 million markka and the export figure from 55,627 million markka .",,,
294,The Bank of Finland earlier estimated the April trade surplus at 3.2 billion markka with exports projected at 14.5 billion and imports at 11.3 billion .,,,Bank of Finland
295,The NCB 's official monthly trade statistics are lagging behind due to changes in customs procedures when Finland joined the European Union at the start of 1995 .,,Finland,NCB;European Union
296,-- Helsinki Newsroom +358 - 0 - 680 50 245,,,Helsinki Newsroom
297,Dutch state raises tap sale price to 99.95 .,,,
298,AMSTERDAM 1996-08-22,,AMSTERDAM,
299,The Finance Ministry raised the price for tap sales of the Dutch government 's new 5.75 percent bond due September 2002 to 99.95 from 99.90 .,,,Finance Ministry
300,Tap sales began on Monday and are being held daily from 07.00 GMT to 15.00 GMT until further notice .,,,
301,The ministry had raised 2.3 billion guilders from sales of the new bond by the close of trade on Wednesday .,,,
302,-- Amsterdam newsroom +31 20 504 5000,,Amsterdam,
303,German farm ministry tells consumers to avoid British mutton .,,,
304,BONN 1996-08-22,,BONN,
305,Germany 's Agriculture Ministry suggested on Wednesday that consumers avoid eating meat from British sheep until scientists determine whether mad cow disease can be transmitted to the animals .,,Germany,Agriculture Ministry
306,""" Until this is cleared up by the European Union 's scientific panels -- and we have asked this to be done as quickly as possible -- ( consumers ) should if at all possible give preference to sheepmeat from other countries , "" ministry official Werner Zwingmann told ZDF television .",Werner Zwingmann,,European Union;ZDF
307,""" I do not want to say that there is a concrete danger for consumers , "" he added . """,,,
308,"There are too many holes in what we know , and these must be filled very quickly . """,,,
309,"Bonn has led efforts to ensure consumer protection tops the list of priorities in dealing with the mad cow crisis , which erupted in March when Britain acknowledged humans could contract a similar illness by eating contaminated beef .",,Bonn;Britain,
310,The European Commission agreed this month to rethink a proposal to ban the use of suspect sheep tissue after some EU veterinary experts questioned whether it was justified .,,,European Commission;EU
311,"EU Farm Commissioner Franz Fischler had proposed banning sheep brains , spleens and spinal cords from the human and animal food chains after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .",Franz Fischler,Britain;France,EU
312,But some members of the EU 's standing veterinary committee questioned whether the action was necessary given the slight risk to human health .,,,EU
313,The question is being studied separately by two EU scientific committees .,,,EU
314,"Sheep have long been known to contract scrapie , a similar brain-wasting disease to BSE which is believed to have been transferred to cattle through feed containing animal waste .",,,
315,British officials say sheep meat is perfectly safe to eat .,,,
316,"ZDF said Germany imported 47,600 sheep from Britain last year , nearly half of total imports .",,Germany;Britain,ZDF
317,"It brought in 4,275 tonnes of British mutton , some 10 percent of overall imports .",,,
318,"After the British government admitted a possible link between mad cow disease and its fatal human equivalent , the EU imposed a worldwide ban on British beef exports .",,,EU
319,EU leaders agreed at a summit in June to a progressive lifting of the ban as Britain takes parallel measures to eradicate the disease .,,Britain,EU
320,GOLF - SCORES AT WORLD SERIES OF GOLF .,,,
321,"AKRON , Ohio 1996-08-22",,AKRON;Ohio,
322,Scores from the $ 2.1,,,
323,million NEC World Series of Golf after the first round,,,
324,"Thursday at the 7,149 yard , par 70 Firestone C.C course",,Firestone C.C,
325,( players U.S. unless stated ) :,,U.S.,
326,"66 Paul Goydos , Billy Mayfair , Hidemichi Tanaka ( Japan )",Paul Goydos;Billy Mayfair;Hidemichi Tanaka,Japan,
327,68 Steve Stricker,Steve Stricker,,
328,"69 Justin Leonard , Mark Brooks",Justin Leonard;Mark Brooks,,
329,"70 Tim Herron , Duffy Waldorf , Davis Love , Anders Forsbrand",Tim Herron;Duffy Waldorf;Davis Love;Anders Forsbrand,,
330,"( Sweden ) , Nick Faldo ( Britain ) , John Cook , Steve Jones , Phil",Nick Faldo;John Cook;Steve Jones;Phil,Sweden;Britain,
331,"Mickelson , Greg Norman ( Australia )",Mickelson;Greg Norman,Australia,
332,"71 Ernie Els ( South Africa ) , Scott Hoch",Ernie Els;Scott Hoch,South Africa,
333,"72 Clarence Rose , Loren Roberts , Fred Funk , Sven Struver",Clarence Rose;Loren Roberts;Fred Funk;Sven Struver,,
334,"( Germany ) , Alexander Cejka ( Germany ) , Hal Sutton , Tom Lehman",Alexander Cejka;Hal Sutton;Tom Lehman,Germany;Germany,
335,"73 D.A. Weibring , Brad Bryant , Craig Parry ( Australia ) ,",D.A. Weibring;Brad Bryant;Craig Parry,Australia,
336,"Stewart Ginn ( Australia ) , Corey Pavin , Craig Stadler , Mark",Stewart Ginn;Corey Pavin;Craig Stadler;Mark,Australia,
337,"O'Meara , Fred Couples",O'Meara;Fred Couples,,
338,"74 Paul Stankowski , Costantino Rocca ( Italy )",Paul Stankowski;Costantino Rocca,Italy,
339,"75 Jim Furyk , Satoshi Higashi ( Japan ) , Willie Wood , Shigeki",Jim Furyk;Satoshi Higashi;Willie Wood;Shigeki,Japan,
340,Maruyama ( Japan ),Maruyama,Japan,
341,76 Scott McCarron,Scott McCarron,,
342,"77 Wayne Westner ( South Africa ) , Steve Schneiter",Wayne Westner;Steve Schneiter,South Africa,
343,79 Tom Watson,Tom Watson,,
344,81 Seiki Okuda ( Japan ),Seiki Okuda,Japan,
345,SOCCER - GLORIA BISTRITA BEAT 2-1 F.C. VALLETTA .,,,GLORIA BISTRITA;F.C. VALLETTA
346,BISTRITA 1996-08-22,,BISTRITA,
347,"Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .",,Romania;Malta,Gloria Bistrita;F.C. Valletta
348,Scorers :,,,
349,"Gloria Bistrita - Ilie Lazar ( 32nd ) , Eugen Voica ( 84th )",Ilie Lazar;Eugen Voica,,Gloria Bistrita
350,F.C. La Valletta - Gilbert Agius ( 24th ),Gilbert Agius,,F.C. La Valletta
351,"Attendance : 8,000",,,
352,Gloria Bistrita won 4-2 on aggregate and qualified for the first round of the Cup winners Cup .,,,Gloria Bistrita
353,REUTER,REUTER,,
354,HORSE RACING - PIVOTAL ENDS 25-YEAR WAIT FOR TRAINER PRESCOTT .,PIVOTAL;PRESCOTT,,
355,"YORK , England 1996-08-22",,YORK;England,
356,"Sir Mark Prescott landed his first group one victory in 25 years as a trainer when his top sprinter Pivotal , a 100-30 chance , won the Nunthorpe Stakes on Thursday .",Mark Prescott;Pivotal,,
357,"The three-year-old , partnered by veteran George Duffield , snatched a short head verdict in the last stride to deny Eveningperformance ( 16-1 ) , trained by Henry Candy and ridden by Chris Rutter .",George Duffield;Eveningperformance;Henry Candy;Chris Rutter,,
358,"Hever Golf Rose ( 11-4 ) , last year 's Prix de l ' Abbaye winner at Longchamp , finished third , a further one and a quarter lengths away with the 7-4 favourite Mind Games in fourth .",Hever Golf Rose;Mind Games,Longchamp,
359,"Pivotal , a Royal Ascot winner in June , may now be aimed at this season 's Abbaye , Europe 's top sprint race .",Pivotal;Royal Ascot,Europe,
360,"Prescott , reluctant to go into the winner 's enclosure until the result of the photo-finish was announced , said : "" Twenty-five years and I have never been there so I thought I had better wait a bit longer . """,Prescott,,
361,"He added : "" It 's very sad to beat Henry Candy because I am godfather to his daughter . """,Henry Candy,,
362,"Like Prescott , Jack Berry , trainer of Mind Games , had gone into Thursday 's race in search of a first group one success after many years around the top of his profession .",Prescott;Jack Berry;Mind Games,,
363,"Berry said : "" I`m disappointed but I do n't feel suicidal .",Berry,,
364,"He ( Mind Games ) was going as well as any of them one and a half furlongs ( 300 metres ) out but he just did n't quicken . """,Mind Games,,
365,HORSE RACING - NUNTHORPE STAKES RESULTS .,,,
366,"YORK , England 1996-08-22",,YORK;England,
367,"Result of the Nunthorpe Stakes , a group one race for two-year-olds and upwards , run over five furlongs ( 1 km ) on Thursday :",,,
368,1. Pivotal 100-30 ( ridden by George Duffield ),Pivotal;George Duffield,,
369,2. Eveningperformance 16-1 ( Chris Rutter ),Eveningperformance;Chris Rutter,,
370,3. Hever Golf Rose 11-4 ( Jason Weaver ),Hever Golf Rose;Jason Weaver,,
371,Eight ran .,,,
372,Favourite : Mind Games ( 7-4 ) finished 4th,Mind Games,,
373,"Distances : a short head , 1-1/4 lengths .",,,
374,Winner owned by the Cheveley Park Stud and trained by Sir,,,Cheveley Park Stud
375,Mark Prescott at Newmarket .,Mark Prescott,Newmarket,
376,"Value to winner : 72,464 pounds sterling ( $ 112,200 )",,,
377,TENNIS - RESULTS AT TOSHIBA CLASSIC .,,,
378,"CARLSBAD , California 1996-08-21",,CARLSBAD;California,
379,Results from the,,,
380,"$ 450,000 Toshiba Classic tennis tournament on Wednesday",,,
381,( prefix number denotes seeding ) :,,,
382,Second round,,,
383,1 - Arantxa Sanchez Vicario ( Spain ) beat Naoko Kijimuta ( Japan ),Arantxa Sanchez Vicario;Naoko Kijimuta,Spain;Japan,
384,1-6 6-4 6-3,,,
385,4 - Kimiko Date ( Japan ) beat Yone Kamio ( Japan ) 6-2 7-5,Kimiko Date;Yone Kamio,Japan;Japan,
386,Sandrine Testud ( France ) beat 7 - Ai Sugiyama ( Japan ) 6-3 4-6,Sandrine Testud;Ai Sugiyama,France;Japan,
387,6-4,,,
388,8 - Nathalie Tauziat ( France ) beat Shi-Ting Wang ( Taiwan ) 6-4,Nathalie Tauziat;Shi-Ting Wang,France;Taiwan,
389,6-2,,,
390,TENNIS - RESULTS AT HAMLET CUP .,,,
391,"COMMACK , New York 1996-08-21",,COMMACK;New York,
392,Results from the,,,
393,Waldbaum Hamlet Cup tennis tournament on Wednesday ( prefix,,,
394,number denotes seeding ) :,,,
395,Second round,,,
396,1 - Michael Chang ( U.S. ) beat Sergi Bruguera ( Spain ) 6-3 6-2,Michael Chang;Sergi Bruguera,U.S.;Spain,
397,Michael Joyce ( U.S. ) beat 3 - Richey Reneberg ( U.S. ) 3-6 6-4,Michael Joyce;Richey Reneberg,U.S.;U.S.,
398,6-3,,,
399,Martin Damm ( Czech Republic ) beat 6 - Younes El Aynaoui,Martin Damm;Younes El Aynaoui,Czech Republic,
400,( Morocco ) 5-7 6-3 3-0 retired,,Morocco,
401,Karol Kucera ( Slovakia ) beat Hicham Arazi ( Morocco ) 7-6 ( 7-4 ),Karol Kucera;Hicham Arazi,Slovakia;Morocco,
402,7-5,,,
403,SOCCER - DALGLISH SAD OVER BLACKBURN PARTING .,DALGLISH,,BLACKBURN
404,LONDON 1996-08-22,,LONDON,
405,"Kenny Dalglish spoke on Thursday of his sadness at leaving Blackburn , the club he led to the English premier league title in 1994-95 .",Kenny Dalglish,,Blackburn
406,Blackburn announced on Wednesday they and Dalglish had parted by mutual consent .,Dalglish,,Blackburn
407,"But the ex-manager confessed on Thursday to being "" sad "" at leaving after taking Blackburn from the second division to the premier league title inside three and a half years .",,,Blackburn
408,"In a telephone call to a local newspaper from his holiday home in Spain , Dalglish said : "" We came to the same opinion , albeit the club came to it a little bit earlier than me . """,Dalglish,Spain,
409,"He added : "" If no one asked , I never opened my mouth .",,,
410,I have stayed out of the way and let them get on with the job .,,,
411,"The club thought it ( the job ) had run its course and I came to the same conclusion . """,,,
412,"Dalglish had been with Blackburn for nearly five years , first as manager and then , for the past 15 months , as director of football .",Dalglish,,Blackburn
413,CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .,,,
414,LONDON 1996-08-22,,LONDON,
415,Close of play scores in four-day,,,
416,English County Championship cricket matches on Thursday :,,,
417,Second day,,,
418,"At Weston-super-Mare : Durham 326 ( D. Cox 95 not out ,",D. Cox,Weston-super-Mare,Durham
419,S. Campbell 69 ; G. Rose 7-73 ) .,S. Campbell;G. Rose,,
420,Somerset 236-4 ( M. Lathwell 85 ) .,M. Lathwell,,Somerset
421,Firsy day,,,
422,"At Colchester : Gloucestershire 280 ( J. Russell 63 , A. Symonds",J. Russell;A. Symonds,Colchester,Gloucestershire
423,52 ; A. Cowan 5-68 ) .,A. Cowan,,
424,Essex 72-0 .,,,Essex
425,"At Cardiff : Kent 128-1 ( M. Walker 59 , D. Fulton 53 not out ) v",M. Walker;D. Fulton,Cardiff,Kent
426,Glamorgan .,,,Glamorgan
427,"At Leicester : Leicestershire 343-8 ( P. Simmons 108 , P. Nixon",P. Simmons;P. Nixon,Leicester,Leicestershire
